color,director_name,movie_facebook_likes,plot_keywords,genres,actor_1_name,imdb_score,movie_title,combine
unknown,Christopher Barnard,0,unknown,Comedy,Mathew Buck,7.2,"10,000 b.c.            ",unknown Christopher Barnard Mathew Buck Comedy unknown
Color,Michael Bay,0,clone environment escape island lottery,Action Adventure Romance Sci-Fi Thriller,Scarlett Johansson,6.9,the island,Color Michael Bay Scarlett Johansson Action Adventure Romance Sci-Fi Thriller clone environment escape island lottery
Color,Peter Chelsom,53,anniversary architect cellist friend hardware store,Comedy Romance,Del Zamora,4.4,town & country,Color Peter Chelsom Del Zamora Comedy Romance anniversary architect cellist friend hardware store
Color,Dominic Sena,0,auto theft brother car theft thief,Action Crime Thriller,Nicolas Cage,6.5,gone in sixty seconds,Color Dominic Sena Nicolas Cage Action Crime Thriller auto theft brother car theft thief
Color,Ridley Scott,21000,battlefield blood combat gladiator roman empire,Action Drama Romance,Djimon Hounsou,8.5,gladiator,Color Ridley Scott Djimon Hounsou Action Drama Romance battlefield blood combat gladiator roman empire
Color,Steven Spielberg,0,future murder neo noir washington d.c. year 2054,Action Mystery Sci-Fi Thriller,Tom Cruise,7.7,minority report,Color Steven Spielberg Tom Cruise Action Mystery Sci-Fi Thriller future murder neo noir washington d.c. year 2054
Color,Chris Columbus,0,bildungsroman flying broom invisibility cloak monster wizardry,Adventure Family Fantasy Mystery,Daniel Radcliffe,7.4,harry potter and the chamber of secrets,Color Chris Columbus Daniel Radcliffe Adventure Family Fantasy Mystery bildungsroman flying broom invisibility cloak monster wizardry
 Black and White,Martin Campbell,0,casino espionage free running james bond terrorist,Action Adventure Thriller,Eva Green,8.0,casino royale, Black and White Martin Campbell Eva Green Action Adventure Thriller casino espionage free running james bond terrorist
Color,Tim Burton,0,astronaut cage planet wilhelm scream year 2029,Action Adventure Sci-Fi Thriller,Cary-Hiroyuki Tagawa,5.7,planet of the apes,Color Tim Burton Cary-Hiroyuki Tagawa Action Adventure Sci-Fi Thriller astronaut cage planet wilhelm scream year 2029
Color,James Cameron,13000,future liquid metal multiple cameos sexy woman time travel,Action Sci-Fi,Joe Morton,8.5,terminator 2: judgment day,Color James Cameron Joe Morton Action Sci-Fi future liquid metal multiple cameos sexy woman time travel
Color,Michael Mann,0,1930s bank celebrity criminal fbi public enemy number one,Biography Crime Drama History Romance,Johnny Depp,7.0,public enemies,Color Michael Mann Johnny Depp Biography Crime Drama History Romance 1930s bank celebrity criminal fbi public enemy number one
Color,Ridley Scott,0,death heroin popcorn smuggling vietnam,Biography Crime Drama,Denzel Washington,7.8,american gangster,Color Ridley Scott Denzel Washington Biography Crime Drama death heroin popcorn smuggling vietnam
Color,James Cameron,0,espionage secret agent secret mission spy spy film,Action Comedy Thriller,Jamie Lee Curtis,7.2,true lies,Color James Cameron Jamie Lee Curtis Action Comedy Thriller espionage secret agent secret mission spy spy film
Color,Tony Scott,0,hijack hostage ransom subway train,Action Crime Thriller,Denzel Washington,6.4,the taking of pelham 1 2 3,Color Tony Scott Denzel Washington Action Crime Thriller hijack hostage ransom subway train
Color,Paul Weitz,0,birthday critically bashed male nurse nurse suspicion,Comedy Romance,Robert De Niro,5.5,little fockers,Color Paul Weitz Robert De Niro Comedy Romance birthday critically bashed male nurse nurse suspicion
Color,Adam McKay,16000,capitalist detective investigation new york city police,Action Comedy Crime,Dwayne Johnson,6.7,the other guys,Color Adam McKay Dwayne Johnson Action Comedy Crime capitalist detective investigation new york city police
Color,Chuck Russell,0,assassination attempt corporate crime rogue agent witness witness protection program,Action Drama Mystery Thriller,Vanessa Williams,6.1,eraser,Color Chuck Russell Vanessa Williams Action Drama Mystery Thriller assassination attempt corporate crime rogue agent witness witness protection program
Color,Quentin Tarantino,199000,dynamite historically inaccurate ku klux klan n word slavery,Drama Western,Leonardo DiCaprio,8.5,django unchained,Color Quentin Tarantino Leonardo DiCaprio Drama Western dynamite historically inaccurate ku klux klan n word slavery
Color,Gary Trousdale,0,15th century cathedral gypsy paris victor hugo,Animation Drama Family Musical Romance,Demi Moore,6.9,the hunchback of notre dame,Color Gary Trousdale Demi Moore Animation Drama Family Musical Romance 15th century cathedral gypsy paris victor hugo
Color,Mark Dindal,0,antidote disney emperor first part llama,Adventure Animation Comedy Family Fantasy,Eartha Kitt,7.3,the emperor's new groove,Color Mark Dindal Eartha Kitt Adventure Animation Comedy Family Fantasy antidote disney emperor first part llama
Color,Simon West,108000,church hostage mine plutonium revenge,Action Adventure Thriller,Jason Statham,6.7,the expendables 2,Color Simon West Jason Statham Action Adventure Thriller church hostage mine plutonium revenge
Color,Jon Turteltaub,0,declaration of independence secret society treasure treasure hunt treasure hunter,Action Adventure Comedy Family Mystery,Nicolas Cage,6.9,national treasure,Color Jon Turteltaub Nicolas Cage Action Adventure Comedy Family Mystery declaration of independence secret society treasure treasure hunt treasure hunter
 Black and White,Stefen Fangmeier,0,dragon dragon rider fictional war sword and fantasy teenage hero,Action Adventure Family Fantasy,Djimon Hounsou,5.1,eragon, Black and White Stefen Fangmeier Djimon Hounsou Action Adventure Family Fantasy dragon dragon rider fictional war sword and fantasy teenage hero
Color,Spike Jonze,11000,based on children's book creature igloo imagination king,Adventure Drama Family Fantasy,Catherine O'Hara,6.8,where the wild things are,Color Spike Jonze Catherine O'Hara Adventure Drama Family Fantasy based on children's book creature igloo imagination king
Color,Joe Wright,24000,1940s child hero fantasy world orphan reference to peter pan,Adventure Family Fantasy,Hugh Jackman,5.8,pan,Color Joe Wright Hugh Jackman Adventure Family Fantasy 1940s child hero fantasy world orphan reference to peter pan
Color,Chris Wedge,17000,father daughter relationship forest miniature person shrinking sword and fantasy,Adventure Animation Family Fantasy,Josh Hutcherson,6.7,epic,Color Chris Wedge Josh Hutcherson Adventure Animation Family Fantasy father daughter relationship forest miniature person shrinking sword and fantasy
Color,Florian Henckel von Donnersmarck,25000,police surveillance surveillance van tailing a suspect tourist venice italy,Action Romance Thriller,Johnny Depp,6.0,the tourist,Color Florian Henckel von Donnersmarck Johnny Depp Action Romance Thriller police surveillance surveillance van tailing a suspect tourist venice italy
Color,Peter Hyams,2000,atheist ex cop female masturbation female nudity lucifer,Action Fantasy Horror Mystery,CCH Pounder,5.7,end of days,Color Peter Hyams CCH Pounder Action Fantasy Horror Mystery atheist ex cop female masturbation female nudity lucifer
Color,Edward Zwick,14000,diamond elephant fisherman rebel sierra leone,Adventure Drama Thriller,Leonardo DiCaprio,8.0,blood diamond,Color Edward Zwick Leonardo DiCaprio Adventure Drama Thriller diamond elephant fisherman rebel sierra leone
Color,Martin Scorsese,138000,based on true story fellatio female rear nudity sex in an airplane stockbroker,Biography Comedy Crime Drama,Leonardo DiCaprio,8.2,the wolf of wall street,Color Martin Scorsese Leonardo DiCaprio Biography Comedy Crime Drama based on true story fellatio female rear nudity sex in an airplane stockbroker
Color,Joel Schumacher,0,love necktie partner rock music tuxedo,Action Adventure Fantasy,Michael Gough,5.4,batman forever,Color Joel Schumacher Michael Gough Action Adventure Fantasy love necktie partner rock music tuxedo
Color,Paul Verhoeven,0,alien federation future military planet,Action Sci-Fi War,Jake Busey,7.2,starship troopers,Color Paul Verhoeven Jake Busey Action Sci-Fi War alien federation future military planet
Color,Tom Tykwer,124000,composer future letter nonlinear timeline nursing home,Drama Sci-Fi,Tom Hanks,7.5,cloud atlas,Color Tom Tykwer Tom Hanks Drama Sci-Fi composer future letter nonlinear timeline nursing home
Color,Zack Snyder,16000,barn owl escape owl ruler soldier,Action Adventure Animation Family Fantasy,Abbie Cornish,7.0,legend of the guardians: the owls of ga'hoole,Color Zack Snyder Abbie Cornish Action Adventure Animation Family Fantasy barn owl escape owl ruler soldier
Color,Pitof,0,based on cult comic book bechdel test passed cat detective radical transformation,Action Crime Fantasy Romance Thriller,Frances Conroy,3.3,catwoman,Color Pitof Frances Conroy Action Crime Fantasy Romance Thriller based on cult comic book bechdel test passed cat detective radical transformation
Color,Brett Ratner,21000,army greek mythology hercules king mercenary,Action Adventure,Dwayne Johnson,6.0,hercules,Color Brett Ratner Dwayne Johnson Action Adventure army greek mythology hercules king mercenary
Color,Ron Clements,0,alien cyborg pirate planet treasure,Adventure Animation Family Sci-Fi,Joseph Gordon-Levitt,7.1,treasure planet,Color Ron Clements Joseph Gordon-Levitt Adventure Animation Family Sci-Fi alien cyborg pirate planet treasure
Color,Brad Silberling,0,human versus dinosaur lizard primate time travel tyrannosaurus rex,Adventure Comedy Sci-Fi,Will Ferrell,5.4,land of the lost,Color Brad Silberling Will Ferrell Adventure Comedy Sci-Fi human versus dinosaur lizard primate time travel tyrannosaurus rex
Color,Patrick Hughes,56000,battle fight mission pg 13 sequel to r rated franchise rescue,Action Adventure Thriller,Jason Statham,6.1,the expendables 3,Color Patrick Hughes Jason Statham Action Adventure Thriller battle fight mission pg 13 sequel to r rated franchise rescue
Color,Ericson Core,37000,athlete extreme sports fbi fbi agent heist,Action Crime Sport Thriller,Ray Winstone,5.3,point break,Color Ericson Core Ray Winstone Action Crime Sport Thriller athlete extreme sports fbi fbi agent heist
Color,Lawrence Guterman,881,baby cartoon on tv cartoonist dog mask,Comedy Family Fantasy,Jamie Kennedy,2.2,son of the mask,Color Lawrence Guterman Jamie Kennedy Comedy Family Fantasy baby cartoon on tv cartoonist dog mask
Color,Ron Howard,27000,emaciation ship starvation vomiting whale,Action Adventure Biography Drama History Thriller,Chris Hemsworth,7.0,in the heart of the sea,Color Ron Howard Chris Hemsworth Action Adventure Biography Drama History Thriller emaciation ship starvation vomiting whale
Color,Ron Underwood,416,casino future laser gun moon nightclub,Action Comedy Sci-Fi,Rosario Dawson,3.8,the adventures of pluto nash,Color Ron Underwood Rosario Dawson Action Comedy Sci-Fi casino future laser gun moon nightclub
Color,Paul Greengrass,0,cia iraq iraqi political military conspiracy weapon of mass destruction,Action Drama Thriller War,Matt Damon,6.9,green zone,Color Paul Greengrass Matt Damon Action Drama Thriller War cia iraq iraqi political military conspiracy weapon of mass destruction
Color,Steve Martino,33000,dog girl imagination peanuts red hair,Adventure Animation Comedy Family,Francesca Capaldi,7.2,the peanuts movie,Color Steve Martino Francesca Capaldi Adventure Animation Comedy Family dog girl imagination peanuts red hair
Color,David Mamet,578,brother sister relationship extradition fbi japanese tourist secret,Drama Mystery Thriller,Ben Gazzara,7.3,the spanish prisoner,Color David Mamet Ben Gazzara Drama Mystery Thriller brother sister relationship extradition fbi japanese tourist secret
Color,Stephen Sommers,0,ancient egypt bracelet king scorpion son,Action Adventure Fantasy Thriller,Dwayne Johnson,6.3,the mummy returns,Color Stephen Sommers Dwayne Johnson Action Adventure Fantasy Thriller ancient egypt bracelet king scorpion son
Color,Martin Scorsese,0,butcher civil war gangster new york city revenge,Crime Drama,Leonardo DiCaprio,7.5,gangs of new york,Color Martin Scorsese Leonardo DiCaprio Crime Drama butcher civil war gangster new york city revenge
Color,Yimou Zhang,13000,abusive stepfather attempted rape food shortage sexual abuse starving child,Drama History Romance War,Christian Bale,7.6,the flowers of war,Color Yimou Zhang Christian Bale Drama History Romance War abusive stepfather attempted rape food shortage sexual abuse starving child
Color,Ash Brannon,0,chicken competition island penguin surfing,Animation Comedy Family Sport,Jeff Bridges,6.8,surf's up,Color Ash Brannon Jeff Bridges Animation Comedy Family Sport chicken competition island penguin surfing
Color,Frank Oz,0,community connecticut fem bot tv producer writer,Comedy Sci-Fi Thriller,Jon Lovitz,5.2,the stepford wives,Color Frank Oz Jon Lovitz Comedy Sci-Fi Thriller community connecticut fem bot tv producer writer
Color,Ridley Scott,10000,army helicopter somali somalia warlord,Drama History War,Ioan Gruffudd,7.7,black hawk down,Color Ridley Scott Ioan Gruffudd Drama History War army helicopter somali somalia warlord
Color,Jay Roach,18000,campaigning congressman north carolina title at the end u.s. congressman,Comedy,Will Ferrell,6.2,the campaign,Color Jay Roach Will Ferrell Comedy campaigning congressman north carolina title at the end u.s. congressman
Color,Luc Besson,18000,1910s alien artificially created woman love taxi driver,Action Adventure Sci-Fi,Milla Jovovich,7.7,the fifth element,Color Luc Besson Milla Jovovich Action Adventure Sci-Fi 1910s alien artificially created woman love taxi driver
Color,Michael Patrick King,0,abu dhabi box office hit muslim nanny united arab emirates,Comedy Drama Romance,Chris Noth,4.3,sex and the city 2,Color Michael Patrick King Chris Noth Comedy Drama Romance abu dhabi box office hit muslim nanny united arab emirates
Color,Bibo Bergeron,0,adventurer el dorado gold high priest implied sex,Adventure Animation Comedy Family Romance,Frank Welker,6.9,the road to el dorado,Color Bibo Bergeron Frank Welker Adventure Animation Comedy Family Romance adventurer el dorado gold high priest implied sex
Color,Steve Martino,14000,acorn herd iceberg ocean pirate,Adventure Animation Comedy Family,Peter Dinklage,6.6,ice age: continental drift,Color Steve Martino Peter Dinklage Adventure Animation Comedy Family acorn herd iceberg ocean pirate
Color,Kenneth Branagh,56000,dress duke fairy godmother fairy tale pumpkin,Drama Family Fantasy Romance,Hayley Atwell,7.0,cinderella,Color Kenneth Branagh Hayley Atwell Drama Family Fantasy Romance dress duke fairy godmother fairy tale pumpkin
Color,Peter Jackson,16000,1970s afterlife heaven pedophile rape,Drama Fantasy Thriller,Michael Imperioli,6.7,the lovely bones,Color Peter Jackson Michael Imperioli Drama Fantasy Thriller 1970s afterlife heaven pedophile rape
Color,Andrew Stanton,11000,great barrier reef protective father separation from family shark short term memory loss,Adventure Animation Comedy Family,Alexander Gould,8.2,finding nemo,Color Andrew Stanton Alexander Gould Adventure Animation Comedy Family great barrier reef protective father separation from family shark short term memory loss
Color,Peter Jackson,16000,battle epic king orc ring,Action Adventure Drama Fantasy,Orlando Bloom,8.9,the lord of the rings: the return of the king,Color Peter Jackson Orlando Bloom Action Adventure Drama Fantasy battle epic king orc ring
Color,Peter Jackson,10000,epic evil wizard middle earth ring wizard,Action Adventure Drama Fantasy,Christopher Lee,8.7,the lord of the rings: the two towers,Color Peter Jackson Christopher Lee Action Adventure Drama Fantasy epic evil wizard middle earth ring wizard
Color,Sergey Bodrov,16000,apprentice demon exorcism master apprentice relationship witch,Action Adventure Fantasy,Jeff Bridges,5.5,seventh son,Color Sergey Bodrov Jeff Bridges Action Adventure Fantasy apprentice demon exorcism master apprentice relationship witch
Color,Simon West,0,illuminati planetary alignment time tomb tomb raider,Action Adventure Fantasy Thriller,Angelina Jolie Pitt,5.7,lara croft: tomb raider,Color Simon West Angelina Jolie Pitt Action Adventure Fantasy Thriller illuminati planetary alignment time tomb tomb raider
Color,Wally Pfister,37000,artificial intelligence consciousness power outage scientist technology,Drama Mystery Romance Sci-Fi Thriller,Johnny Depp,6.3,transcendence,Color Wally Pfister Johnny Depp Drama Mystery Romance Sci-Fi Thriller artificial intelligence consciousness power outage scientist technology
Color,Joe Johnston,0,dinosaur island jurassic park paleontologist search,Action Adventure Sci-Fi Thriller,Michael Jeter,5.9,jurassic park iii,Color Joe Johnston Michael Jeter Action Adventure Sci-Fi Thriller dinosaur island jurassic park paleontologist search
Color,Rupert Wyatt,47000,alzheimer's disease ape chimpanzee fire when animals attack,Action Drama Sci-Fi Thriller,James Franco,7.6,rise of the planet of the apes,Color Rupert Wyatt James Franco Action Drama Sci-Fi Thriller alzheimer's disease ape chimpanzee fire when animals attack
Color,Mark Waters,0,actor playing multiple roles brownie the creature closing credits sequence family relationships magical creature,Adventure Family Fantasy,Martin Short,6.6,the spiderwick chronicles,Color Mark Waters Martin Short Adventure Family Fantasy actor playing multiple roles brownie the creature closing credits sequence family relationships magical creature
Color,John Moore,66000,bomb cia courthouse escape russian,Action Thriller,Bruce Willis,5.3,a good day to die hard,Color John Moore Bruce Willis Action Thriller bomb cia courthouse escape russian
Color,John Lee Hancock,701,army dictator general texan texas,Drama History War Western,Dennis Quaid,6.0,the alamo,Color John Lee Hancock Dennis Quaid Drama History War Western army dictator general texan texas
Color,Brad Bird,0,hero island lawsuit secret superhero,Action Adventure Animation Family,Holly Hunter,8.0,the incredibles,Color Brad Bird Holly Hunter Action Adventure Animation Family hero island lawsuit secret superhero
Color,Renny Harlin,1000,latin pirate pirate ship treasure treasure map,Action Adventure Comedy,Christopher Masterson,5.6,cutthroat island,Color Renny Harlin Christopher Masterson Action Adventure Comedy latin pirate pirate ship treasure treasure map
Color,Chris Columbus,9000,greek lightning lightning bolt poseidon teenager,Adventure Family Fantasy,Logan Lerman,5.9,percy jackson & the olympians: the lightning thief,Color Chris Columbus Logan Lerman Adventure Family Fantasy greek lightning lightning bolt poseidon teenager
Color,Barry Sonnenfeld,0,alien box office hit flying saucer laser gun wisecrack humor,Adventure Comedy Family Mystery Sci-Fi,Will Smith,7.3,men in black,Color Barry Sonnenfeld Will Smith Adventure Comedy Family Mystery Sci-Fi alien box office hit flying saucer laser gun wisecrack humor
Color,John Lasseter,0,collector dog friend rescue toy,Adventure Animation Comedy Family Fantasy,Tom Hanks,7.9,toy story 2,Color John Lasseter Tom Hanks Adventure Animation Comedy Family Fantasy collector dog friend rescue toy
Color,Tony Scott,18000,freight train race against time runaway train train train engineer,Action Thriller,Denzel Washington,6.8,unstoppable,Color Tony Scott Denzel Washington Action Thriller freight train race against time runaway train train train engineer
Color,Brett Ratner,0,boat gang hong kong triad vacation,Action Comedy Crime Thriller,Mei Melançon,6.6,rush hour 2,Color Brett Ratner Mei Melançon Action Comedy Crime Thriller boat gang hong kong triad vacation
Color,Robert Zemeckis,0,ghost haunted house research secret vermont,Drama Fantasy Horror Mystery Thriller,Harrison Ford,6.6,what lies beneath,Color Robert Zemeckis Harrison Ford Drama Fantasy Horror Mystery Thriller ghost haunted house research secret vermont
Color,Phil Lord,0,food giant food mayor sardine weather,Animation Comedy Family Sci-Fi,Will Forte,7.0,cloudy with a chance of meatballs,Color Phil Lord Will Forte Animation Comedy Family Sci-Fi food giant food mayor sardine weather
Color,Carlos Saldanha,0,egg lost world rescue squirrel weasel,Action Adventure Animation Comedy Family,Denis Leary,7.0,ice age: dawn of the dinosaurs,Color Carlos Saldanha Denis Leary Action Adventure Animation Comedy Family egg lost world rescue squirrel weasel
Color,Ben Stiller,70000,daydream life magazine magazine photographer snow leopard,Adventure Comedy Drama Fantasy Romance,Adam Scott,7.3,the secret life of walter mitty,Color Ben Stiller Adam Scott Adventure Comedy Drama Fantasy Romance daydream life magazine magazine photographer snow leopard
Color,McG,0,booty shake box office hit duct tape over mouth first part martial arts,Action Adventure Comedy Crime Thriller,Bill Murray,5.5,charlie's angels,Color McG Bill Murray Action Adventure Comedy Crime Thriller booty shake box office hit duct tape over mouth first part martial arts
Color,Martin Scorsese,29000,boston mole police undercover undercover cop,Crime Drama Thriller,Leonardo DiCaprio,8.5,the departed,Color Martin Scorsese Leonardo DiCaprio Crime Drama Thriller boston mole police undercover undercover cop
Color,Tony Bancroft,12000,based on poem based on true story china one word title the huns,Adventure Animation Family Fantasy Musical War,Ming-Na Wen,7.5,mulan,Color Tony Bancroft Ming-Na Wen Adventure Animation Family Fantasy Musical War based on poem based on true story china one word title the huns
Color,Ben Stiller,0,film director parody spoof vietnam written and directed by cast member,Action Comedy,Robert Downey Jr.,7.0,tropic thunder,Color Ben Stiller Robert Downey Jr. Action Comedy film director parody spoof vietnam written and directed by cast member
Color,David Fincher,54000,computer hacker hacker investigation journalist punk,Crime Drama Mystery Thriller,Robin Wright,7.8,the girl with the dragon tattoo,Color David Fincher Robin Wright Crime Drama Mystery Thriller computer hacker hacker investigation journalist punk
Color,John McTiernan,0,bomb detective new york city police terrorist,Action Adventure Thriller,Bruce Willis,7.6,die hard with a vengeance,Color John McTiernan Bruce Willis Action Adventure Thriller bomb detective new york city police terrorist
Color,Guy Ritchie,20000,black magic bridge construction professor moriarty scotland yard inspector sherlock holmes,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,7.6,sherlock holmes,Color Guy Ritchie Robert Downey Jr. Action Adventure Crime Mystery Thriller black magic bridge construction professor moriarty scotland yard inspector sherlock holmes
Color,Timur Bekmambetov,0,unknown,Adventure Drama History,Morgan Freeman,6.1,ben-hur,Color Timur Bekmambetov Morgan Freeman Adventure Drama History unknown
Color,Gary Trousdale,0,atlantis crew expedition journal museum,Action Adventure Animation Family Fantasy Sci-Fi,Leonard Nimoy,6.8,atlantis: the lost empire,Color Gary Trousdale Leonard Nimoy Action Adventure Animation Family Fantasy Sci-Fi atlantis crew expedition journal museum
Color,Walt Becker,0,chipmunk highway travel on the road plane road movie,Adventure Animation Comedy Family Fantasy Music,Bella Thorne,5.0,alvin and the chipmunks: the road chip,Color Walt Becker Bella Thorne Adventure Animation Comedy Family Fantasy Music chipmunk highway travel on the road plane road movie
Color,Bryan Singer,0,american actor playing foreigner assassination conspiracy military nazis,Drama History Thriller War,Tom Cruise,7.1,valkyrie,Color Bryan Singer Tom Cruise Drama History Thriller War american actor playing foreigner assassination conspiracy military nazis
Color,Dennis Dugan,0,hair stylist jew landlord muslim palestinian,Action Comedy,Adam Sandler,5.5,you don't mess with the zohan,Color Dennis Dugan Adam Sandler Action Comedy hair stylist jew landlord muslim palestinian
Color,Chris Columbus,39000,alien arcade game chase driving in reverse video gamer,Action Animation Comedy Sci-Fi,Peter Dinklage,5.6,pixels,Color Chris Columbus Peter Dinklage Action Animation Comedy Sci-Fi alien arcade game chase driving in reverse video gamer
Color,Steven Spielberg,11000,affection boy fairy future robot,Adventure Drama Sci-Fi,Haley Joel Osment,7.1,a.i. artificial intelligence,Color Steven Spielberg Haley Joel Osment Adventure Drama Sci-Fi affection boy fairy future robot
Color,Rob Minkoff,988,arachnophobia crystal ball ghost haunted house thunderstorm,Comedy Family Fantasy Horror Mystery,Marsha Thomason,4.9,the haunted mansion,Color Rob Minkoff Marsha Thomason Comedy Family Fantasy Horror Mystery arachnophobia crystal ball ghost haunted house thunderstorm
Color,Robert Zemeckis,15000,message from outer space religion religion versus science scientist universe,Drama Mystery Sci-Fi Thriller,Matthew McConaughey,7.4,contact,Color Robert Zemeckis Matthew McConaughey Drama Mystery Sci-Fi Thriller message from outer space religion religion versus science scientist universe
Color,Paul Verhoeven,0,experiment research scientist suburb surrealism,Action Horror Sci-Fi Thriller,Greg Grunberg,5.7,hollow man,Color Paul Verhoeven Greg Grunberg Action Horror Sci-Fi Thriller experiment research scientist suburb surrealism
Color,Sydney Pollack,0,african assassination dialect interpreter threat,Crime Mystery Thriller,Curtiss Cook,6.4,the interpreter,Color Sydney Pollack Curtiss Cook Crime Mystery Thriller african assassination dialect interpreter threat
Color,Thor Freudenthal,28000,golden fleece half brother magical tree sea tree,Adventure Family Fantasy,Logan Lerman,5.9,percy jackson: sea of monsters,Color Thor Freudenthal Logan Lerman Adventure Family Fantasy golden fleece half brother magical tree sea tree
Color,Jan de Bont,0,duology female hero female lead orb pandora's box,Action Adventure Fantasy,Gerard Butler,5.5,lara croft tomb raider: the cradle of life,Color Jan de Bont Gerard Butler Action Adventure Fantasy duology female hero female lead orb pandora's box
Color,Jon M. Chu,15000,card trick london england magician rain machine rooftop,Action Adventure Comedy Crime Mystery Thriller,Daniel Radcliffe,6.9,now you see me 2,Color Jon M. Chu Daniel Radcliffe Action Adventure Comedy Crime Mystery Thriller card trick london england magician rain machine rooftop
Color,Phillip Noyce,0,cold fusion disguise energy fusion the saint,Action Adventure Romance Sci-Fi Thriller,Alun Armstrong,6.2,the saint,Color Phillip Noyce Alun Armstrong Action Adventure Romance Sci-Fi Thriller cold fusion disguise energy fusion the saint
Color,Tony Scott,0,china cia cold war friendship retirement,Action Crime Thriller,Brad Pitt,7.0,spy game,Color Tony Scott Brad Pitt Action Crime Thriller china cia cold war friendship retirement
Color,Brian De Palma,0,astronaut mars mars the planet outer space zero gravity,Adventure Sci-Fi Thriller,Don Cheadle,5.6,mission to mars,Color Brian De Palma Don Cheadle Adventure Sci-Fi Thriller astronaut mars mars the planet outer space zero gravity
Color,Carlos Saldanha,19000,bird brazilian cockatoo macaw minnesota,Adventure Animation Comedy Family Musical,Anne Hathaway,7.0,rio,Color Carlos Saldanha Anne Hathaway Adventure Animation Comedy Family Musical bird brazilian cockatoo macaw minnesota
Color,Chris Columbus,0,23rd century android artificial intelligence dual role robot,Comedy Drama Sci-Fi,Robin Williams,6.8,bicentennial man,Color Chris Columbus Robin Williams Comedy Drama Sci-Fi 23rd century android artificial intelligence dual role robot
Color,Mick Jackson,2000,earthquake fire lava rescue volcano,Action Drama Sci-Fi Thriller,Don Cheadle,5.4,volcano,Color Mick Jackson Don Cheadle Action Drama Sci-Fi Thriller earthquake fire lava rescue volcano
Color,Alan J. Pakula,979,friendship murder northern ireland police officer terrorist,Action Crime Drama Thriller,Harrison Ford,6.1,the devil's own,Color Alan J. Pakula Harrison Ford Action Crime Drama Thriller friendship murder northern ireland police officer terrorist
Color,Kathryn Bigelow,0,courage radiation sickness radioactive contamination sea test launch,Drama History Thriller War,Liam Neeson,6.7,k-19: the widowmaker,Color Kathryn Bigelow Liam Neeson Drama History Thriller War courage radiation sickness radioactive contamination sea test launch
Color,Josh Trank,41000,box office flop critically bashed portal teleportation troubled production,Action Adventure Sci-Fi,Tim Blake Nelson,4.3,fantastic four,Color Josh Trank Tim Blake Nelson Action Adventure Sci-Fi box office flop critically bashed portal teleportation troubled production
Color,John Milius,0,actual animal killed cult evil sorcerer gladiator warlord,Adventure Fantasy,William Smith,6.9,conan the barbarian,Color John Milius William Smith Adventure Fantasy actual animal killed cult evil sorcerer gladiator warlord
Color,Ron Howard,0,boxer boxing dream great depression love,Biography Drama Sport,Paddy Considine,8.0,cinderella man,Color Ron Howard Paddy Considine Biography Drama Sport boxer boxing dream great depression love
Color,Andrey Konchalovskiy,788,box office flop christmas christmas eve critically bashed toy comes to life,Action Family Fantasy Musical,Shirley Henderson,4.4,the nutcracker in 3d,Color Andrey Konchalovskiy Shirley Henderson Action Family Fantasy Musical box office flop christmas christmas eve critically bashed toy comes to life
 Black and White,Gary Ross,0,horse horse racing jockey limp seabiscuit,Drama History Sport,Jeff Bridges,7.3,seabiscuit, Black and White Gary Ross Jeff Bridges Drama History Sport horse horse racing jockey limp seabiscuit
Color,Jan de Bont,0,device disaster divorce storm tornado,Action Adventure Drama Thriller,Philip Seymour Hoffman,6.3,twister,Color Jan de Bont Philip Seymour Hoffman Action Adventure Drama Thriller device disaster divorce storm tornado
Color,Rob Cohen,14000,eighteen wheeler illegal street racing truck trucker undercover cop,Action Crime Thriller,Paul Walker,6.7,the fast and the furious,Color Rob Cohen Paul Walker Action Crime Thriller eighteen wheeler illegal street racing truck trucker undercover cop
Color,Robert Zemeckis,23000,christmas island love survival talking to inanimate object,Adventure Drama Romance,Tom Hanks,7.7,cast away,Color Robert Zemeckis Tom Hanks Adventure Drama Romance christmas island love survival talking to inanimate object
Color,George Miller,0,dance emperor penguin friend penguin song,Animation Comedy Family Music Romance,Robin Williams,6.5,happy feet,Color George Miller Robin Williams Animation Comedy Family Music Romance dance emperor penguin friend penguin song
Color,Paul Greengrass,0,assassin car chase cia hidden truth one against many,Action Mystery Thriller,Matt Damon,7.8,the bourne supremacy,Color Paul Greengrass Matt Damon Action Mystery Thriller assassin car chase cia hidden truth one against many
Color,Wolfgang Petersen,0,ex soldier hijacker hostage president terrorist,Action Adventure Drama Thriller,Harrison Ford,6.4,air force one,Color Wolfgang Petersen Harrison Ford Action Adventure Drama Thriller ex soldier hijacker hostage president terrorist
Color,Steven Soderbergh,0,card dealer casino criminal mastermind recruiting ulcer,Crime Thriller,Brad Pitt,7.8,ocean's eleven,Color Steven Soderbergh Brad Pitt Crime Thriller card dealer casino criminal mastermind recruiting ulcer
Color,Paul W.S. Anderson,19000,box office flop cardinal richelieu critically bashed duel musketeer,Action Adventure Romance,Milla Jovovich,5.8,the three musketeers,Color Paul W.S. Anderson Milla Jovovich Action Adventure Romance box office flop cardinal richelieu critically bashed duel musketeer
